PropertyName,MeanSale,MedianSale,MeanRental,MedianRental,%toBreakEven,NSale,NRental,NError,URL
Legasi 2,403500.0,403500.0,1450.0,1450.0,88.94941538763541,2,1,0,https://www.propertyguru.com.my/condo/legasi-2-623
The Scott SOHO,430700.0,396500.0,1595.0,1500.0,93.64114217222479,20,20,0,https://www.propertyguru.com.my/condo/the-scott-soho-2729
Arata @ Bukit Tunku,1634394.4,1400000.0,4714.285714285715,4000.0,70.72135785007072,20,7,0,https://www.propertyguru.com.my/condo/arata-bukit-tunku-2969
Zenia Garden Condos,2431750.0,2670000.0,7650.0,7650.0,70.92001334964957,20,2,0,https://www.propertyguru.com.my/condo/zenia-garden-condos-3035
1C Pinang (Taman Sri Sentosa),272500.0,272500.0,465.0,465.0,42.23816877100554,2,2,0,https://www.propertyguru.com.my/condo/1c-pinang-taman-sri-sentosa-3971
Apartment Desa Tasik Fasa 6B,225000.0,220000.0,1000.0,1000.0,112.51125112511251,5,2,0,https://www.propertyguru.com.my/condo/apartment-desa-tasik-fasa-6b-4331
Fadason Service Apartments,373636.36363636365,368000.0,1133.3333333333333,1200.0,80.71459319845027,11,3,0,https://www.propertyguru.com.my/condo/fadason-service-apartments-4337
Ria Apartment @ Sri Ehsan,275000.0,275000.0,950.0,950.0,85.5085508550855,2,3,0,https://www.propertyguru.com.my/condo/ria-apartment-sri-ehsan-4463
Sri Ehsan Apartment,268789.4736842105,270000.0,875.0,875.0,80.21635496883022,19,2,0,https://www.propertyguru.com.my/condo/sri-ehsan-apartment-4466
Seri Riana Residence,934894.35,930000.0,3160.0,3250.0,86.50058554242523,20,20,0,https://www.propertyguru.com.my/condo/seri-riana-residence-4637
Palace Court,521515.0,507650.0,1927.2,1799.0,87.71733077966518,20,20,0,https://www.propertyguru.com.my/condo/palace-court-4631
Pangsapuri Berembang Indah,231450.0,239000.0,1033.3333333333333,1000.0,103.5668420398525,20,12,0,https://www.propertyguru.com.my/condo/pangsapuri-berembang-indah-4628
Midah Ria Flat,177500.0,175000.0,750.0,750.0,106.08203677510608,4,2,0,https://www.propertyguru.com.my/condo/midah-ria-flat-4625
D'Suria Condominium @ Duta Suria,791450.0,865000.0,2255.0,1850.0,52.93881989355005,20,10,0,https://www.propertyguru.com.my/condo/d-suria-condominium-duta-suria-4667
SAVILLE @ THE PARK Bangsar,1711075.0,887500.0,2702.4,2499.0,69.69739227443871,20,20,0,https://www.propertyguru.com.my/condo/saville-the-park-bangsar-4685
Seringin Residences,1470299.85,1450000.0,3945.0,3300.0,56.33321952884944,20,20,0,https://www.propertyguru.com.my/condo/seringin-residences-4691
Kiara Residence 1,560450.0,550000.0,1792.3,1850.0,83.25832583258327,20,20,0,https://www.propertyguru.com.my/condo/kiara-residence-1-4751
Kenny Hills Residence,5442940.0,3800000.0,10880.0,8750.0,56.995831162063574,20,20,0,https://www.propertyguru.com.my/condo/kenny-hills-residence-4754
Concerto North Kiara,1103400.0,1100000.0,4032.5,4000.0,90.00900090009002,20,20,0,https://www.propertyguru.com.my/condo/concerto-north-kiara-4811
The Court @ Central Residence,508310.0,517500.0,1442.5,1450.0,69.35476156311283,20,20,0,https://www.propertyguru.com.my/condo/the-court-central-residence-4778
"The Veo, Kuala Lumpur",1211588.8,1175000.0,2727.25,1950.0,41.078575942700645,20,20,0,https://www.propertyguru.com.my/condo/the-veo-kuala-lumpur-4835
Puncak Desa Apartment,202293.4,200000.0,734.0,800.0,99.00990099009901,20,5,0,https://www.propertyguru.com.my/condo/puncak-desa-apartment-4868
Taman Jinjang Baru Kos Sederhana,195333.33333333334,197000.0,700.0,700.0,87.95295773232147,6,1,0,https://www.propertyguru.com.my/condo/taman-jinjang-baru-kos-sederhana-4889
Impiana Shop Apartment (Wangsa Permai),120250.0,119000.0,675.0,675.0,140.40269573175806,4,2,0,https://www.propertyguru.com.my/condo/impiana-shop-apartment-wangsa-permai-5006
Taman Megah Kepong (Jalan Udang Harimau),1234874.9375,1200000.0,3550.0,5000.0,103.13531353135315,16,3,0,https://www.propertyguru.com.my/condo/taman-megah-kepong-jalan-udang-harimau-5027
Platinum Lake Condominium PV 15,471500.0,467500.0,1829.95,1875.0,99.2746333456875,20,20,0,https://www.propertyguru.com.my/condo/platinum-lake-condominium-pv-15-5177
Flat Taman Desa Cheras (Blok 1 3 5 7),151933.33333333334,157800.0,700.0,700.0,109.80185471018585,3,1,0,https://www.propertyguru.com.my/condo/flat-taman-desa-cheras-blok-1-3-5-7-5288
Flat Taman Desa Cheras (Blok 9 11),148333.33333333334,140000.0,700.0,700.0,123.76237623762377,3,1,0,https://www.propertyguru.com.my/condo/flat-taman-desa-cheras-blok-9-11-5291
Seksyen 2 Wangsa Maju Flat Block A,250000.0,250000.0,1025.0,1050.0,103.96039603960396,2,8,0,https://www.propertyguru.com.my/condo/seksyen-2-wangsa-maju-flat-block-a-5348
Seksyen 2 Wangsa Maju Flat Block C,258333.33333333334,265000.0,882.5,900.0,84.06501027461236,3,4,0,https://www.propertyguru.com.my/condo/seksyen-2-wangsa-maju-flat-block-c-5354
Seksyen 1 Wangsa Maju Flat Block D,220000.0,220000.0,850.0,850.0,95.63456345634563,1,3,0,https://www.propertyguru.com.my/condo/seksyen-1-wangsa-maju-flat-block-d-5378
Seksyen 2 Wangsa Maju Flat Block G,206666.66666666666,200000.0,812.5,800.0,99.00990099009901,3,8,0,https://www.propertyguru.com.my/condo/seksyen-2-wangsa-maju-flat-block-g-5366
Seksyen 2 Wangsa Maju Flat Block B,220625.0,224000.0,870.0,850.0,93.92680339462518,8,5,0,https://www.propertyguru.com.my/condo/seksyen-2-wangsa-maju-flat-block-b-5351
Seksyen 2 Wangsa Maju Flat Block F,210000.0,210000.0,850.0,850.0,100.18859028760018,2,3,0,https://www.propertyguru.com.my/condo/seksyen-2-wangsa-maju-flat-block-f-5363
Seksyen 1 Wangsa Maju Flat Block B,203781.81818181818,198000.0,750.0,750.0,93.75937593759376,11,1,0,https://www.propertyguru.com.my/condo/seksyen-1-wangsa-maju-flat-block-b-5372
Seksyen 1 Wangsa Maju Flat Block F,220000.0,220000.0,1150.0,1150.0,129.38793879387939,1,1,0,https://www.propertyguru.com.my/condo/seksyen-1-wangsa-maju-flat-block-f-5384
Seksyen 1 Wangsa Maju Flat Block C,212888.8,212500.0,800.0,800.0,93.18578916715201,10,1,0,https://www.propertyguru.com.my/condo/seksyen-1-wangsa-maju-flat-block-c-5375
Seksyen 2 Wangsa Maju Flat Block E,242857.14285714287,230000.0,920.0,815.0,87.70985794231598,7,4,0,https://www.propertyguru.com.my/condo/seksyen-2-wangsa-maju-flat-block-e-5360
Seksyen 2 Wangsa Maju Flat Block D,223750.0,227500.0,915.0,885.0,96.28984876509628,4,8,0,https://www.propertyguru.com.my/condo/seksyen-2-wangsa-maju-flat-block-d-5357
Seksyen 4 Wangsa Maju Flat Block B,201666.66666666666,210000.0,900.0,900.0,106.08203677510608,3,1,0,https://www.propertyguru.com.my/condo/seksyen-4-wangsa-maju-flat-block-b-5390
Tiara Mutiara,424804.1904761905,400000.0,1512.35,1550.0,95.91584158415841,21,20,0,https://www.propertyguru.com.my/condo/tiara-mutiara-5423
Danau Kota Flat,174000.0,170000.0,837.9,850.0,123.76237623762377,11,10,0,https://www.propertyguru.com.my/condo/danau-kota-flat-5399
Seksyen 4 Wangsa Maju Flat Block A,216333.33333333334,219000.0,933.3333333333334,900.0,101.722501017225,3,3,0,https://www.propertyguru.com.my/condo/seksyen-4-wangsa-maju-flat-block-a-5387
Altitude 236 @ Bukit Manda'rina,765700.0,754000.0,2465.0,2400.0,78.78771962076844,20,20,0,https://www.propertyguru.com.my/condo/altitude-236-bukit-manda-rina-5414
The Sentral Residences @ KL Sentral,1904194.4,1817500.0,4620.0,4000.0,54.47587399730344,20,20,0,https://www.propertyguru.com.my/condo/the-sentral-residences-kl-sentral-5441
The BreezeWay Garden,2240900.0,1949000.0,4830.0,4000.0,50.80035966654644,20,20,0,https://www.propertyguru.com.my/condo/the-breezeway-garden-5435
Seri Ampang Hilir Residences,2092250.0,1975000.0,6500.0,6250.0,78.33061787191377,8,6,0,https://www.propertyguru.com.my/condo/seri-ampang-hilir-residences-5456
Le Yuan Residence,771000.0,748000.0,3114.85,2500.0,82.72886112140627,20,20,0,https://www.propertyguru.com.my/condo/le-yuan-residence-5468
St Regis The Residences,5538855.0,5398050.0,15030.0,7900.0,36.225035791710994,20,20,0,https://www.propertyguru.com.my/condo/st-regis-the-residences-5444
OG Heights,377699.95,339000.0,1437.6,1200.0,87.61938140716727,20,5,0,https://www.propertyguru.com.my/condo/og-heights-5480
Madge Mansions,7435697.15,7254500.0,14312.5,13500.0,46.06222563120603,20,8,0,https://www.propertyguru.com.my/condo/madge-mansions-5528
Soho Suites @ KLCC,906860.65,870000.0,2539.65,2500.0,71.12780243541596,20,20,0,https://www.propertyguru.com.my/condo/soho-suites-klcc-5570
Zeta Deskye Residence,520625.0,500000.0,1419.95,1400.0,69.30693069306932,16,20,0,https://www.propertyguru.com.my/condo/zeta-deskye-residence-5540
Desa Green Serviced Apartments,530650.0,550000.0,1620.0,1600.0,72.007200720072,20,20,0,https://www.propertyguru.com.my/condo/desa-green-serviced-apartments-5579
Scenaria @ North Kiara Hills,906844.4,615000.0,2277.5,2150.0,86.53304354825727,20,20,0,https://www.propertyguru.com.my/condo/scenaria-north-kiara-hills-5582
Taman Pusat Kepong Shop Apartment,200166.66666666666,196500.0,835.2941176470588,850.0,107.07177587987806,12,17,0,https://www.propertyguru.com.my/condo/taman-pusat-kepong-shop-apartment-5597
Flat Taman Bukit Angkasa,248571.42857142858,255000.0,1200.0,1200.0,116.48223645894001,7,3,0,https://www.propertyguru.com.my/condo/flat-taman-bukit-angkasa-5576
ViPod Residences @ KLCC,1714300.0,1510000.0,3830.0,4000.0,65.56947085437021,20,20,0,https://www.propertyguru.com.my/condo/vipod-residences-klcc-5573
Bukit Cheras Apartment (Block 8 & 10),181250.0,187500.0,716.6666666666666,700.0,92.40924092409242,4,3,0,https://www.propertyguru.com.my/condo/bukit-cheras-apartment-block-8-10-5621
Plaza Sinar Apartment,321222.22222222225,330000.0,1083.3333333333333,1150.0,86.25862586258626,9,6,0,https://www.propertyguru.com.my/condo/plaza-sinar-apartment-5627
Desa Aman Flat (Cheras),984000.0,984000.0,750.0,750.0,18.866215889881673,2,1,0,https://www.propertyguru.com.my/condo/desa-aman-flat-cheras-5603
Platinum Hill PV 2,661750.0,585000.0,1652.5,1600.0,67.6990776000677,20,20,0,https://www.propertyguru.com.my/condo/platinum-hill-pv-2-5624
Bukit Cheras Apartment (Block 1 & 3),200500.0,200000.0,825.0,850.0,105.1980198019802,10,4,0,https://www.propertyguru.com.my/condo/bukit-cheras-apartment-block-1-3-5618
Richmond @ Mont Kiara,806290.0,777600.0,3000.0,3000.0,95.49566067717883,20,2,0,https://www.propertyguru.com.my/condo/richmond-mont-kiara-5630
Platinum Lake PV16,486900.0,477500.0,1921.4,1875.0,97.19558343268882,20,20,0,https://www.propertyguru.com.my/condo/platinum-lake-pv16-5639
Nova I,298250.0,304000.0,1164.2857142857142,1100.0,89.56487754038562,4,14,0,https://www.propertyguru.com.my/condo/nova-i-5669
Residensi Kerinchi,459250.0,460000.0,2072.1666666666665,2000.0,107.6194575979337,20,18,0,https://www.propertyguru.com.my/condo/residensi-kerinchi-10150
Residensi Selayang Damai,280000.0,280000.0,1200.0,1200.0,106.08203677510608,2,2,0,https://www.propertyguru.com.my/condo/residensi-selayang-damai-16897
