PropertyName,MedianSale,MeanSale,StdSale,NSale,EOLSale,MOLSale,MedianRental,MeanRental,StdRental,NRental,EOLRent,MOLRent,NNaN,%toBreakEven,URL
The Henge Kepong,500000.0,529172.5478723404,77594.40617315612,188,0.0,4.0,1500.0,1587.3296703296703,439.5113934175625,273,0.0,37.0,0,74.25742574257426,https://www.propertyguru.com.my/condo/the-henge-kepong-7439
Garden Tower Apartment,220000.0,232500.0,40181.878170803975,6,6.0,0.0,865.0,865.0,15.0,2,2.0,0.0,0,97.32223222322231,https://www.propertyguru.com.my/condo/garden-tower-apartment-7418
Residensi Gombak 126,320000.0,329271.0857142857,43324.16036042141,35,0.0,0.0,1200.0,1297.2,181.8465286993403,25,3.0,0.0,0,92.82178217821782,https://www.propertyguru.com.my/condo/residensi-gombak-126-7502
Ascenda Residences @ SkyArena Setapak,500000.0,501108.23711340205,69238.28685930798,97,0.0,0.0,1700.0,1680.5714285714287,213.97219922414297,70,1.0,4.0,0,84.15841584158416,https://www.propertyguru.com.my/condo/ascenda-residences-skyarena-setapak-7496
OPUS Kuala Lumpur,1190000.0,1230812.5,201412.26959584662,16,0.0,1.0,3500.0,3371.078125,626.9939021007177,64,0.0,0.0,0,72.80139778683751,https://www.propertyguru.com.my/condo/opus-kuala-lumpur-7550
Riana Dutamas,550000.0,552206.24375,84274.17673001521,161,3.0,35.0,1500.0,1580.4441964285713,294.3522800032374,448,0.0,2.0,1,67.50675067506751,https://www.propertyguru.com.my/condo/riana-dutamas-7634
Secoya Residences,1023400.0,1041057.1071428572,197540.9967112323,28,0.0,1.0,3300.0,3554.5454545454545,701.6391669948001,55,0.0,2.0,0,79.81548594570225,https://www.propertyguru.com.my/condo/secoya-residences-7619
The Centrina @ Central Residence,574000.0,574000.0,75000.0,2,2.0,0.0,1600.0,1575.0,82.915619758885,8,1.0,1.0,0,68.99644668299582,https://www.propertyguru.com.my/condo/the-centrina-central-residence-7628
KM1 East Condominium @ Bukit Jalil,1340000.0,1401133.3333333333,267949.5267562323,60,2.0,0.0,3999.5,3937.3333333333335,438.3089346821739,12,2.0,0.0,0,73.87874981528003,https://www.propertyguru.com.my/condo/km1-east-condominium-bukit-jalil-7697
United Point Residence @ North Kiara,550000.0,555592.2651933702,57131.241263571486,181,1.0,11.0,1999.0,1908.8119349005424,349.6369919135264,553,0.0,22.0,0,89.96399639963997,https://www.propertyguru.com.my/condo/united-point-residence-north-kiara-7718
