PropertyName,MeanSale,MedianSale,MeanRental,MedianRental,%toBreakEven,NSale,NRental,NError,URL
PPR Raya Permai,169000.0,169000.0,650.0,650.0,95.2018278750952,1,2,0,https://www.propertyguru.com.my/condo/ppr-raya-permai-11745
City Gardens Condominium,569818.1818181818,540000.0,2268.0,2294.0,105.15218188485515,11,16,0,https://www.propertyguru.com.my/condo/city-gardens-condominium-11788
Residensi Jalan Jubilee,415000.0,415000.0,1500.0,1550.0,92.44900393653822,2,20,0,https://www.propertyguru.com.my/condo/residensi-jalan-jubilee-11814
South Brooks,1060000.0,1045000.0,2878.5238095238096,2700.0,63.95376379743238,22,21,0,https://www.propertyguru.com.my/condo/south-brooks-10229
TR Residence,671115.0,560000.0,1902.3333333333333,1800.0,79.56152758132957,20,21,0,https://www.propertyguru.com.my/condo/tr-residence-10228
Taman Bukit Permai,756823.2941176471,900000.0,683.3333333333334,550.0,15.126512651265127,17,3,0,https://www.propertyguru.com.my/condo/taman-bukit-permai-10255
Laman Tasik,506800.0,490000.0,2288.8888888888887,2300.0,116.18508789654476,20,9,0,https://www.propertyguru.com.my/condo/laman-tasik-10376
Taman Angsana Hilir,442500.0,442500.0,1100.0,1100.0,61.531576886502215,2,1,0,https://www.propertyguru.com.my/condo/taman-angsana-hilir-11574
Bandar Baru Sentul Flat,230833.33333333334,227500.0,962.4166666666666,949.5,103.3075835056033,6,12,0,https://www.propertyguru.com.my/condo/bandar-baru-sentul-flat-11600
V Residence Suites @ Sunway Velocity,766752.5,775000.0,2190.0,2000.0,63.87735547748323,20,20,0,https://www.propertyguru.com.my/condo/v-residence-suites-sunway-velocity-11635
Platinum Lake PV 21,438300.0,425000.0,1511.4,1475.0,85.90564938846825,20,20,0,https://www.propertyguru.com.my/condo/platinum-lake-pv-21-11636
Sky Suites @ KLCC,1116354.4,1121500.0,2897.5,2950.0,65.10905214462596,20,20,0,https://www.propertyguru.com.my/condo/sky-suites-klcc-11800
Residensi Alam Damai,413000.0,370000.0,1169.95,1100.0,73.58843992507359,6,20,0,https://www.propertyguru.com.my/condo/residensi-alam-damai-11829
Desa Villa,619750.0,580000.0,1875.0,1800.0,76.81802663024924,20,10,0,https://www.propertyguru.com.my/condo/desa-villa-767
The Meritz,1317250.0,1280000.0,3830.0,3550.0,68.64944306930693,20,20,0,https://www.propertyguru.com.my/condo/the-meritz-1004
Merdeka Villa,315000.0,320000.0,1006.0,1000.0,77.35148514851485,20,5,0,https://www.propertyguru.com.my/condo/merdeka-villa-1017
Pandan Court,327400.0,326500.0,1140.909090909091,1100.0,83.39271905751066,10,11,0,https://www.propertyguru.com.my/condo/pandan-court-1124
Glenview Villa,389505.0,370000.0,1367.95,1300.0,86.96815627508698,20,20,0,https://www.propertyguru.com.my/condo/glenview-villa-1122
Grandeur Tower,309898.9090909091,300000.0,1243.75,1250.0,103.13531353135315,11,8,0,https://www.propertyguru.com.my/condo/grandeur-tower-1123
Taman Sri Sentosa,326428.4285714286,152500.0,830.0,800.0,129.84905047881838,14,5,0,https://www.propertyguru.com.my/condo/taman-sri-sentosa-1219
Sentosa Court (Jalan Klang Lama),374000.0,374000.0,1100.0,1100.0,72.80139778683751,2,1,0,https://www.propertyguru.com.my/condo/sentosa-court-jalan-klang-lama-1276
PPR Kampung Baru Air Panas,160000.0,160000.0,1164.2857142857142,1200.0,185.64356435643563,1,7,0,https://www.propertyguru.com.my/condo/ppr-kampung-baru-air-panas-16778
Sucasa Corporate Apartments,494300.0,510000.0,1778.9473684210527,1800.0,87.361677344205,10,19,0,https://www.propertyguru.com.my/condo/sucasa-corporate-apartments-15198
Skyville @ Benteng 8,521899.6,535000.0,1962.5,2000.0,92.53261774775609,5,12,0,https://www.propertyguru.com.my/condo/skyville-benteng-8-16460
Royalle Condominium,548980.0,538585.0,2512.5,2225.0,102.2573176485468,16,4,0,https://www.propertyguru.com.my/condo/royalle-condominium-16430
Bandar Tasik Selatan Low Cost Flat,194625.0,190000.0,950.0,950.0,123.76237623762377,8,2,0,https://www.propertyguru.com.my/condo/bandar-tasik-selatan-low-cost-flat-16444
28 Residence @ Beverly Heights,1013000.0,1013000.0,4375.0,4375.0,106.90234867514393,2,2,0,https://www.propertyguru.com.my/condo/28-residence-beverly-heights-15632
Pantai Indah Apartment (Fasa 2),295000.0,280000.0,1200.0,1200.0,106.08203677510608,5,1,0,https://www.propertyguru.com.my/condo/pantai-indah-apartment-fasa-2-16834
The Ooak (Kiara 163),753988.8,749000.0,3062.5,3000.0,99.14209044402438,20,20,0,https://www.propertyguru.com.my/condo/the-ooak-kiara-163-9221
"The Rainz, Bukit Jalil",1043900.0,995000.0,2983.0,3200.0,79.60595054480322,20,20,0,https://www.propertyguru.com.my/condo/the-rainz-bukit-jalil-9281
Villa Ampang Condominium,549000.0,549000.0,1716.0,1780.0,80.25392703204747,2,5,0,https://www.propertyguru.com.my/condo/villa-ampang-condominium-62
Vista Damai,738149.95,715000.0,2665.0,2400.0,83.08523160008309,20,20,0,https://www.propertyguru.com.my/condo/vista-damai-63
Menara Bangsar,1502222.2222222222,1550000.0,4113.333333333333,4500.0,71.86202491216865,9,15,0,https://www.propertyguru.com.my/condo/menara-bangsar-101
Sri Bayu (Bukit Bandaraya),1035000.0,985000.0,3000.0,3000.0,75.38824948484697,6,1,0,https://www.propertyguru.com.my/condo/sri-bayu-bukit-bandaraya-108
Meadow Park 2,351449.9,349000.0,1196.5,1200.0,85.10879741269255,20,6,0,https://www.propertyguru.com.my/condo/meadow-park-2-381
De Tropicana,315699.95,300000.0,1225.0,1225.0,101.07260726072607,20,20,0,https://www.propertyguru.com.my/condo/de-tropicana-363
Villa Angsana,427550.0,395000.0,1387.5,1350.0,84.59706730166687,20,20,0,https://www.propertyguru.com.my/condo/villa-angsana-347
Bukit OUG Condominiums,344050.0,360000.0,1222.45,1225.0,84.22717271727174,20,20,0,https://www.propertyguru.com.my/condo/bukit-oug-condominiums-358
Nyaman Court,396666.6666666667,420000.0,1150.0,1150.0,67.77463460631779,3,2,0,https://www.propertyguru.com.my/condo/nyaman-court-384
Stonor Park,3190612.5,3100000.0,8220.0,7480.0,59.72532737144683,20,8,0,https://www.propertyguru.com.my/condo/stonor-park-440
The Westside One,1196523.8095238095,960000.0,4157.5,4075.0,105.06910066006601,21,20,0,https://www.propertyguru.com.my/condo/the-westside-one-470
Vista Magna,296299.9,298500.0,1079.3529411764705,1000.0,82.9228651508367,20,17,0,https://www.propertyguru.com.my/condo/vista-magna-408
Kiaramas Sutera,1194615.3846153845,1000000.0,3535.714285714286,3300.0,81.68316831683168,13,14,0,https://www.propertyguru.com.my/condo/kiaramas-sutera-461
Enau Court,1043750.0,900000.0,3300.0,3300.0,90.75907590759076,8,1,0,https://www.propertyguru.com.my/condo/enau-court-428
Kepong Central Condominium,280661.0,282500.0,1167.0,1150.0,100.76228861824235,20,20,0,https://www.propertyguru.com.my/condo/kepong-central-condominium-415
Happy Court,192666.66666666666,178000.0,775.0,775.0,107.77060852152631,3,2,0,https://www.propertyguru.com.my/condo/happy-court-419
Aman Satu,239714.2857142857,240000.0,986.1818181818181,1000.0,103.13531353135315,7,11,0,https://www.propertyguru.com.my/condo/aman-satu-411
Setapak Ria,365000.0,349500.0,1221.357142857143,1100.0,77.9047861867732,20,14,0,https://www.propertyguru.com.my/condo/setapak-ria-574
Platinum Lake PV 12,425649.95,427500.0,1689.9,1700.0,98.43089572115106,20,20,0,https://www.propertyguru.com.my/condo/platinum-lake-pv-12-568
Langkawi Apartment,386666.6666666667,350000.0,1150.0,1150.0,81.32956152758132,3,2,0,https://www.propertyguru.com.my/condo/langkawi-apartment-551
PV 10 Platinum Lake Condominium,415050.0,405000.0,1471.8,1500.0,91.67583425009167,20,20,0,https://www.propertyguru.com.my/condo/pv-10-platinum-lake-condominium-572
Mahsuri Apartments,340352.9411764706,330000.0,1266.6666666666667,1200.0,90.00900090009002,17,3,0,https://www.propertyguru.com.my/condo/mahsuri-apartments-552
Tar Villa,385000.0,385000.0,1400.0,1400.0,90.00900090009002,2,2,0,https://www.propertyguru.com.my/condo/tar-villa-588
Vista Wira 1 & 2,386666.6666666667,340000.0,1161.111111111111,1000.0,72.80139778683751,3,9,0,https://www.propertyguru.com.my/condo/vista-wira-1-2-590
Hartamas Regency I,904900.0,950000.0,3150.0,3000.0,78.1657113079729,20,20,0,https://www.propertyguru.com.my/condo/hartamas-regency-i-597
Puncak Prima,557250.0,559500.0,2070.8333333333335,2000.0,88.48069793574533,16,12,0,https://www.propertyguru.com.my/condo/puncak-prima-603
Endah Puri,529200.0,550000.0,1557.4,1500.0,67.50675067506751,20,20,0,https://www.propertyguru.com.my/condo/endah-puri-609
Hartamas Regency II,1237300.0,1150000.0,3355.0,2900.0,62.41928540680154,20,20,0,https://www.propertyguru.com.my/condo/hartamas-regency-ii-598
Mont Kiara Palma,1199550.0,937500.0,3055.0,3000.0,79.20792079207921,20,20,0,https://www.propertyguru.com.my/condo/mont-kiara-palma-601
Windsor Tower,535049.9,484000.0,1757.4,1600.0,81.82636445462728,20,20,0,https://www.propertyguru.com.my/condo/windsor-tower-604
Casa Desa Condominium,704094.4,665000.0,1880.0,1750.0,65.13809275664408,20,15,0,https://www.propertyguru.com.my/condo/casa-desa-condominium-613
1 Desa Residence,1646666.6666666667,1595000.0,5500.0,5500.0,85.35336292249916,18,1,0,https://www.propertyguru.com.my/condo/1-desa-residence-612
Endah Villa,379190.0,380000.0,1337.45,1399.5,91.1607608129234,20,20,0,https://www.propertyguru.com.my/condo/endah-villa-607
Kiara View,1431750.0,1305000.0,3000.0,3000.0,56.902241948332765,12,3,0,https://www.propertyguru.com.my/condo/kiara-view-630
